,base_market,quote_market,hedge_ratio,half_life
0,SOL-USD,XTZ-USD,89.66636931520998,17.0
1,ZEC-USD,DOGE-USD,284.5421892884503,11.0
2,ZEC-USD,LTC-USD,0.331349966915408,5.0
3,AAVE-USD,ETC-USD,3.8286518435083305,14.0
4,AAVE-USD,XTZ-USD,94.72472744898963,18.0
5,AAVE-USD,YFI-USD,0.013015054364905522,17.0
6,AAVE-USD,FIL-USD,17.651224383593913,11.0
7,AAVE-USD,DOT-USD,13.816146789394503,12.0
8,AAVE-USD,ADA-USD,190.66808649547522,8.0
9,AAVE-USD,ENJ-USD,331.3413714393795,8.0
10,AAVE-USD,SNX-USD,28.512859477836184,10.0
11,AAVE-USD,EOS-USD,134.37979946740995,19.0
12,ETC-USD,MATIC-USD,31.76700254196336,7.0
13,ETC-USD,NEAR-USD,8.272530101667302,9.0
14,ETC-USD,DOT-USD,3.6059101612014337,8.0
15,ETC-USD,CELO-USD,36.33520655298521,11.0
16,ETC-USD,1INCH-USD,59.28011315625276,9.0
17,ETC-USD,ENJ-USD,86.45458736984762,13.0
18,ETC-USD,AVAX-USD,0.7552672275329259,10.0
19,ETC-USD,SNX-USD,7.4416166116365625,8.0
20,XTZ-USD,YFI-USD,0.000137085003512355,18.0
21,XTZ-USD,COMP-USD,0.018752617393514675,19.0
22,XTZ-USD,ALGO-USD,5.793939396353843,16.0
23,BCH-USD,RUNE-USD,56.15417911105909,17.0
24,BCH-USD,ICP-USD,20.540818795527304,19.0
25,BCH-USD,MATIC-USD,303.61654565661337,22.0
26,BCH-USD,DOT-USD,34.4593757187117,24.0
27,XMR-USD,DOGE-USD,1920.8812749782949,20.0
28,XMR-USD,MKR-USD,0.07669324939263453,23.0
29,XMR-USD,COMP-USD,2.8080874220321905,17.0
30,XMR-USD,TRX-USD,1414.8745147751217,14.0
31,XMR-USD,SUSHI-USD,141.2310386999932,20.0
32,YFI-USD,FIL-USD,1355.6585013217177,23.0
33,YFI-USD,AVAX-USD,222.27051639482784,22.0
34,YFI-USD,SNX-USD,2189.9762533405415,15.0
35,YFI-USD,EOS-USD,10325.075560673593,7.0
36,YFI-USD,ATOM-USD,768.3251530546665,10.0
37,ALGO-USD,NEAR-USD,0.05757541941525072,22.0
38,ALGO-USD,1INCH-USD,0.4125582064487377,17.0
39,ALGO-USD,EOS-USD,0.24411274385455545,23.0
40,FIL-USD,MATIC-USD,6.893298069038599,10.0
41,FIL-USD,NEAR-USD,1.7951880763377364,11.0
42,FIL-USD,DOT-USD,0.7825637110437499,8.0
43,FIL-USD,1INCH-USD,12.864591737099678,11.0
44,FIL-USD,ENJ-USD,18.764339782339484,12.0
45,MATIC-USD,DOT-USD,0.1135097099137075,8.0
46,MATIC-USD,1INCH-USD,1.8655456898865013,17.0
47,MATIC-USD,ENJ-USD,2.7218052040927807,10.0
48,MATIC-USD,SNX-USD,0.23425002827390726,6.0
49,NEAR-USD,DOT-USD,0.4355759625890347,17.0
50,NEAR-USD,CELO-USD,4.387880378870537,19.0
51,NEAR-USD,1INCH-USD,7.161673905073031,9.0
52,NEAR-USD,AVAX-USD,0.09125457630153823,15.0
53,NEAR-USD,SNX-USD,0.8986291812948173,21.0
54,DOT-USD,CELO-USD,10.072345820551773,18.0
55,DOT-USD,1INCH-USD,16.433684823590223,14.0
56,DOT-USD,ENJ-USD,23.974008883638692,14.0
57,DOT-USD,AVAX-USD,0.20946820511517197,6.0
58,DOT-USD,SNX-USD,2.063389105286512,6.0
59,BTC-USD,ENJ-USD,141526.2209861594,23.0
60,BTC-USD,XLM-USD,361754.37550563685,13.0
61,BTC-USD,EOS-USD,57413.79004138928,20.0
62,BTC-USD,ATOM-USD,4273.154723959364,12.0
63,CELO-USD,1INCH-USD,1.6307727374655574,15.0
64,1INCH-USD,AVAX-USD,0.012736142136985453,14.0
65,1INCH-USD,SNX-USD,0.12544891017804835,19.0
66,ENJ-USD,AVAX-USD,0.008732798188433352,12.0
67,ENJ-USD,SNX-USD,0.08604126345465245,8.0
68,ENJ-USD,EOS-USD,0.4055544207315094,11.0
69,ENJ-USD,ATOM-USD,0.030178484241115196,15.0
70,SNX-USD,EOS-USD,4.711522496591396,20.0
71,XLM-USD,ATOM-USD,0.011809924920733414,18.0
72,EOS-USD,ATOM-USD,0.0744065243518747,8.0
